Time;SpeedRpm;SpeedKmph;GasSignal;LapNumber;MotorCommError;AssistantSwitch;BmsCommError;BmsRelays;BmsPower;BmsVoltage;DriveCommand;Energy;AuxiliaryBattery
308,8;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,7804
309,3;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,7806
309,8;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,7778
310,3;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,777
310,8;0;0;0;0;false;false;false;14;4,82533;51,4702;false;1;12,7766
311,3;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,7836
311,8;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,7801
312,3;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,7802
312,85;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,7794
313,35;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,7777
313,9;0;0;0;0;false;false;false;14;4,82533;51,4702;false;1;12,7797
314,45;0;0;0;0;false;false;false;14;4,82533;51,4702;false;1;12,7783
315;0;0;0;0;false;false;false;14;4,82533;51,4702;false;1;12,7783
315,55;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,7763
316,1;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,7816
316,75;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,7796
317,25;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,781
317,75;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,7767
318,25;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,7758
318,75;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,7797
319,25;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,7802
319,75;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,7813
320,25;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,7793
320,75;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,7765
321,25;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,7765
321,75;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,7741
322,25;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,7762
322,75;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,7782
323,25;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,7789
323,75;0;0;0;0;false;false;false;14;4,82627;51,4802;false;1;12,7766
324,25;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,777
324,75;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,7751
325,25;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,7756
325,75;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,7721
326,25;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,7769
326,75;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,7805
327,25;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8029
327,75;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8064
328,25;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8066
328,75;0;0;0;0;false;false;false;14;4,02111;51,4702;false;1;12,8043
329,25;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8048
329,75;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8092
330,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8101
330,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8104
331,35;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,812
331,85;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,806
332,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8078
332,85;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8118
333,35;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,813
333,85;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8125
