Time;Time_Race_s;LapNumber;SpeedKmph;Vehicle_Speed_mps;Distance;Distance_Race_m;BMS_Battery_Voltage_V;Acc_X_G;Acc_Y_G;Acc_Z_G
170,211237;0;0;2,123799981;0,589944439;61,08875199;0;48,895;0,2109375;-0,0078125;-0,90625
171,0112569;0;0;2,374924979;0,659701383;61,65354039;0;48,894;0,01171875;0,09765625;-0,97265625
172,2112379;0;0;1,987474983;0,552076384;62,36307443;0;48,895;-0,01953125;-0,00390625;-0,95703125
174,4112389;0;0;2,29189998;0,636638883;63,20981489;0;48,894;0,078125;-0,0546875;-0,9609375
183,8112381;0;0;0,011275;0,003131944;67,75909265;0;48,893;-0,015625;-0,01171875;-0,96484375
185,4112449;0;0;0,098399999;0,027333333;67,79603971;0;48,893;-0,015625;-0,01953125;-1,0078125
185,81124;0;0;0,0369;0,01025;67,8043181;0;48,893;-0,015625;0,00390625;-0,97265625
186,3112249;0;0;0,061499999;0,017083333;67,80979181;0;48,893;-0,01953125;-0,01171875;-1
186,811233;0;0;0,093274999;0,025909722;67,82227317;0;48,893;-0,00390625;-0,0078125;-0,94921875
187,3112319;0;0;0,031775;0,008826389;67,83008206;0;48,893;-0,01171875;-0,00390625;-0,96484375
187,711235;0;0;0,02255;0,006263889;67,83242;0;48,893;-0,015625;0,01171875;-0,9453125
188,211251;0;0;0,01845;0,005125;67,83586514;0;48,893;-0,0234375;-0,00390625;-0,96484375
188,611237;0;0;0,011275;0,003131944;67,8369933;0;48,893;-0,01171875;0,00390625;-0,9765625
189,111232;0;0;0,0164;0,004555556;67,8381998;0;48,893;-0,0078125;-0,015625;-0,96484375
189,511234;0;0;0,00205;0,000569444;67,83921772;0;48,893;-0,02734375;-0,01171875;-0,9609375
190,5112278;0;0;0,0123;0,003416667;67,84242085;0;48,893;-0,015625;-0,0078125;-0,96875
191,5112278;0;0;0,092249999;0,025625;67,85393059;0;48,893;-0,015625;-0,01171875;-0,96875
192,511234;0;0;0,187574998;0,052104166;67,90474277;0;48,892;0;-0,0078125;-0,96484375
193,5112319;0;0;0,409999996;0,113888888;68,0408262;0;48,892;-0,01953125;-0,02734375;-0,97265625
197,0112369;0;0;0,775924993;0,21553472;68,74731872;0;48,881;0,0078125;-0,01953125;-0,9765625
197,5112529;0;0;1,363249988;0,378680552;68,88894916;0;48,878;-0,05078125;-0,0234375;-0,95703125
198,0112231;0;0;1,427824988;0,396618052;69,07312924;0;48,886;-0,0390625;-0,01171875;-0,984375
198,911242;0;0;1,006549991;0,27959722;69,3768192;0;48,891;-0,05078125;-0,03125;-0,96875
199,911222;0;0;1,030124991;0,286145831;69,69048118;0;48,887;0,01171875;-0,02734375;-0,9765625
201,0112329;0;0;0,838449993;0,232902776;69,96000375;0;48,891;-0,02734375;-0,0078125;-0,98046875
